popularity_level,degree,betweennes,closeness,eigenvector,clustering
1,0.0028085504758932752,8.636335764147565e-05,0.3185722366919259,0.005885513414280762,0.1111111111111111
1,0.012638477141519737,0.0024676248541683843,0.3701798231963097,0.04364452094889265,0.12222222222222222
1,0.019347792167264784,0.01655549671941914,0.3393546168978265,0.027648218018842638,0.06372934697088907
1,0.0051490092058043375,0.0013714077353116924,0.3042063022956481,0.011839963957605476,0.19318181818181818
0,0.0018723669839288502,3.117893670799216e-05,0.31088789387423565,0.004246069474170119,0.18181818181818182
1,0.006397253861756904,0.0005357562942519603,0.32502205901346926,0.005983097839189131,0.07073170731707316
1,0.0014042752379466376,2.516068069052226e-05,0.2894194601256406,0.005045891827196601,0.3055555555555556
1,0.0010922140739584958,6.2643001770746266e-06,0.2942952787558725,0.0038089459756499144,0.42857142857142855
1,0.011858324231549384,0.0005526395069910203,0.32917256911092113,0.0642552316572856,0.3519298245614035
1,0.04431268528631612,0.031790420616129876,0.38028068194019704,0.1304914476676679,0.07836062310257304
1,0.012014354813543454,0.0008928341606384622,0.31280487230430076,0.03894626565278804,0.21633629528366372
0,0.003276642221875488,3.25354478854275e-05,0.2879344490465779,0.008727009897090087,0.3904761904761905
1,0.0024964893119051334,6.786204879295269e-05,0.2829620870750908,0.0026568977060172543,0.30833333333333335
0,0.0031206116398814166,5.0604027517277796e-05,0.2809810515487764,0.002629956788886221,0.28421052631578947
1,0.0056171009517865505,0.0004820166963089648,0.33542345259734385,0.00968319828630123,0.1365079365079365
0,0.015447027617413013,0.003673143748400229,0.3698128168981621,0.026332834565773372,0.09771181199752628
1,0.006865345607739117,0.0004502193352753819,0.32367823854590294,0.01729955140623027,0.11416490486257928
1,0.004524886877828055,0.00013299539396042365,0.2957778054644706,0.008757323907267245,0.1748768472906404
1,0.0051490092058043375,0.0004285413175758195,0.2997343718733591,0.01188462363156972,0.14015151515151514
1,0.010766110157590887,0.001996684878645673,0.3210236607782507,0.031243941013132357,0.1568627450980392
1,0.014198782961460446,0.002538878841908639,0.3506902096755218,0.048478747524452546,0.14456654456654458
1,0.004836948041816196,0.00015380476545308433,0.3161894974496527,0.014497272588572493,0.2064516129032258
1,0.0031206116398814166,0.00012621530410399456,0.3272867288440147,0.007634927325707489,0.1368421052631579
1,0.010298018411608675,0.0009911709440345207,0.33688468210980105,0.009237649033300543,0.06946386946386947
1,0.0012482446559525667,6.958692603675178e-05,0.2176482022087793,6.016510176761286e-05,0.2857142857142857
1,0.0021844281479169916,0.0019370270385583145,0.2757154820362966,0.002973888635657283,0.13186813186813187
1,0.015603058199407084,0.002115120791273665,0.3610944918485727,0.06523002339403984,0.19797979797979798
1,0.013418630051490093,0.005005909194698423,0.35773329410768284,0.028949208163378745,0.05636114911080711
1,0.0017163364019347792,5.418185236239784e-05,0.30337672812902045,0.0025821286468077666,0.12727272727272726
0,0.006241223279762833,0.0005723128161641403,0.3351752403061887,0.009169267630778256,0.1064102564102564
1,0.004212825713839912,1.7093237915080795e-05,0.004212825713839912,5.3890949468428365e-49,0.0
1,0.00015603058199407084,0.0,0.002146156495729767,1.0371317905279456e-49,0.0
0,0.010141987829614604,0.0009192036498494106,0.27609963736460075,0.0005530851113732631,0.25432692307692306
1,0.004524886877828055,0.00030231044806643196,0.26307585344145307,0.00022982477185573327,0.2561576354679803
1,0.006241223279762833,0.0020829364145125377,0.31384213666680455,0.01590934725638058,0.18846153846153846
1,0.00046809174598221254,3.6028722449100517e-06,0.29847871835033113,0.0022429964011723086,0.0
1,0.0031206116398814166,0.00021267920105448858,0.33348305923496113,0.009300842340910916,0.14210526315789473
1,0.012326415977531596,0.0009160291926206207,0.26865993184564607,0.0005042933653582717,0.18889970788704966
1,0.006865345607739117,0.00025517779203486953,0.2414859808580976,0.0001373315904450933,0.12896405919661733
1,0.014354813543454517,0.0017675138953378569,0.3538802595765827,0.016608612148270245,0.08337314859053989
1,0.013730691215478234,0.0023130264612539896,0.352131295610439,0.01873717713936415,0.07262277951933124
1,0.04259634888438134,0.0330976071014751,0.3982903317224286,0.10965622016857224,0.06256733462615816
0,0.015290997035418943,0.0074100223394147225,0.374331781071593,0.029687874454378926,0.05701662108142226
1,0.0017163364019347792,7.390143327666885e-05,0.28881309762036733,0.0026211196590397658,0.16363636363636364
1,0.00046809174598221254,3.949310106086882e-06,0.25588880074866976,0.0002072822092012519,0.0
1,0.004680917459822125,0.00046204009073179316,0.3210886815207244,0.01511372182477082,0.13333333333333333
1,0.007177406771727258,0.00012699280874080092,0.30851320284872946,0.030929848099049192,0.293719806763285
1,0.032610391636760806,0.017777235595629128,0.3925212238534686,0.10330024870021942,0.09988038277511961
1,0.00015603058199407084,0.0,0.2814674584470143,0.001673332605533837,0.0
1,0.010922140739584958,0.00023569994607168694,0.30855823908095886,0.04953855905502668,0.2910973084886128
1,0.008113590263691683,8.252123453223e-05,0.3042063022956481,0.044157070963138555,0.4110105580693816
0,0.004212825713839912,0.004503469062450391,0.3165209329815706,0.004687022805901352,0.03133903133903134
1,0.022780464971134343,0.012868442459320312,0.3811950929577869,0.07829009184030113,0.11006140765233821
1,0.00904977375565611,0.001575930026733061,0.34636117387769205,0.012375652541920603,0.06352087114337568
1,0.0003120611639881417,8.116346780782653e-07,0.27379880705322907,0.0009153430289246313,0.0
1,0.002028397565922921,6.55975728627063e-05,0.3028551137335364,0.0020132622842885823,0.0
1,0.004992978623810267,0.00045895971740848233,0.3356542648397621,0.007268549677748962,0.06451612903225806
1,0.017787486347324074,0.009878651379254625,0.3853649572380909,0.04761482224117427,0.07219375873311598
0,0.00015603058199407084,0.0,0.27776864388947325,0.000771273953326752,0.0
1,0.0028085504758932752,5.9564613864290516e-05,0.31072032395887816,0.002990301493804925,0.11764705882352941
1,0.008893743173662037,0.0008566776459359467,0.33684889090851444,0.00980354442749284,0.06829573934837092
1,0.025901076611015757,0.015325342902027111,0.39388659987283586,0.08557079100201265,0.10149689667761957
1,0.007957559681697613,0.0018687107920525837,0.35391976175435536,0.04133444191322588,0.28549019607843135
1,0.0010922140739584958,2.3044405404229274e-06,0.27534434960281307,0.0057098977142835405,0.3333333333333333
1,0.011546263067561242,0.0012821090014444852,0.34403105313328913,0.057618437714550406,0.25249907441688263
